"","자치구","발생합계","검거합계","살인","강도","강간","절도","폭력","살인검거율","강간검거율","강도검거율","절도검거율","폭력검거율","이혼","인구","범죄","검거","for_perc"
"1","종로구",4057,4437,0.428571428571428,0.473684210526315,0.296222664015904,0.404885863035642,0.328020756115641,100,100,100,55.0486618004866,97.8068128791413,265,164257,0.386276984452986,99.6186568190423,0.0577570514498621
"2","중구",4184,2851,0,0.421052631578947,0.324055666003976,0.485782939527432,0.297627872498146,0,55.8052434456928,100,48.1581798483206,87.5303250849102,253,134593,0.3057038219217,64.1224790430089,0.0660064044935472
"3","용산구",4060,2936,0,0.210526315789473,0.443339960238568,0.285542651181417,0.416234247590808,100,88.3792048929663,80,46.5081723625557,84.6703065938681,389,244444,0.271128634960053,87.8942665205995,0.0625214773117769
"4","성동구",2767,2031,0,0.105263157894736,0.0556660039761431,0.175810973167801,0.111564121571534,100,80.3030303030303,100,50.6529850746268,88.3899935856318,509,312711,0.0896608513220431,92.2472808458424,0.0252725359837038
"5","광진구",4646,3289,0.357142857142857,0.631578947368421,0.312127236580516,0.635562675210252,0.329132690882134,83.3333333333333,79.6934865900383,61.5384615384615,52.6126126126126,88.5368126747437,612,372298,0.453108881436836,80.4495250744136,0.0392024668410789
"6","동대문구",3975,3274,0.714285714285714,0.105263157894736,0.121272365805168,0.366039247096515,0.367309117865085,90.9090909090909,90.3030303030303,100,65.7401422107304,93.0635838150289,624,366011,0.334833920589444,96.794209481382,0.0419768804762698
"7","중랑구",4571,3392,0.285714285714285,0.105263157894736,0.135188866799204,0.360432519022827,0.593031875463306,100,83.7209302325581,100,53.0332681017612,84.8845346396081,956,412780,0.295926140978872,92.7516317903864,0.0110325112650807
"8","성북구",3434,2479,0.428571428571428,0.368421052631578,0.137176938369781,0.284741690028033,0.23869532987398,100,77.4566473988439,100,52.3065476190476,85.5415352260778,732,455407,0.29152128789496,91.3582847303934,0.0249271530740634
"9","강북구",3393,2824,0.5,0.31578947368421,0.20675944333996,0.152583099719663,0.33283914010378,100,73.5576923076923,71.4285714285714,62.6232741617357,93.8311688311688,742,328002,0.301594231369522,88.308491854136,0.0107407881659258
"10","도봉구",1999,1652,0,0.105263157894736,0,0,0,100,100,100,65.8767772511848,88.7122416534181,666,346234,0.0210526315789473,100,0.00597283917812809
"11","노원구",4209,3047,0.214285714285714,0.421052631578947,0.151093439363817,0.362434921906287,0.45218680504077,100,86.1111111111111,77.7777777777777,49.2197659297789,85.7142857142857,1003,558075,0.320210702435107,87.7326384816717,0.00657976078484075
