"","자치구","유흥업소","무단투기","인구대비무단투기","유동인구평균","발생합계","검거합계","살인","강도","강간","절도","폭력","살인검거율","강간검거율","강도검거율","절도검거율","폭력검거율","이혼","인구","범죄","검거","for_perc","범죄율","cctv_10만","면적","가로등"
"15","서초구",17.06,381,85.54089461,352821,4708,3237,0.571428571,0.631578947,0.727634195,0.4721666,0.424759081,100,60.21276596,53.84615385,46.0816777,87.43760399,561,445401,0.565513479,76.45987629,965.1977,1057,516.9521398,49,247
"16","성동구",7.36,266,85.06256576,137501,2767,2031,0,0.105263158,0.055666004,0.175810973,0.111564122,100,80.3030303,100,50.65298507,88.38999359,509,312711,0.089660851,92.24728085,2527.2536,884.8,425.9332099,79,339
"17","성북구",1.98,398,87.39435274,109063,3434,2479,0.428571429,0.368421053,0.137176938,0.28474169,0.23869533,100,77.4566474,100,52.30654762,85.54153523,732,455407,0.291521288,91.35828473,2492.7153,754.1,361.4766571,67,215
"18","송파구",16.84,8518,1269.121374,238621,5576,3870,0.357142857,0,0.365805169,0.657188626,0.648257969,100,84.02777778,100,45.11873351,86.23212504,1041,671173,0.405678924,91.37454251,994.8255,830.8,161.4844459,32,356
"19","양천구",1.26,485,102.1013941,96439,3882,2660,0.142857143,0.105263158,0.067594433,0.383259912,0.329873981,66.66666667,88.4057971,66.66666667,47.54716981,82.77467412,700,475018,0.205769725,77.44599181,813.4429,817.2,520.4476462,142,414
"20","영등포구",40.54,3361,836.0197401,266959,5969,4012,1,0.210526316,0.697813121,0.669203044,0.71608599,86.66666667,58.68131868,100,48.09027778,82.10031348,628,402024,0.658725694,82.61056932,8326.3686,1484.7,317.5432312,52,373
"21","용산구",12.27,1842,753.5468246,157758,4060,2936,0,0.210526316,0.44333996,0.285542651,0.416234248,100,88.37920489,80,46.50817236,84.67030659,389,244444,0.271128635,87.89426652,6252.1477,1660.9,858.8961071,96,329
"22","은평구",16.9,2386,485.7472079,69889,3883,3207,0.357142857,0.157894737,0.250497018,0.301962355,0.369903632,100,92.60869565,100,67.33958183,90.86879433,917,491202,0.28748012,99.17025116,897.3905,790.5,429.4383981,71,217
"23","종로구",128.46,13473,8202.390157,271308,4057,4437,0.428571429,0.473684211,0.296222664,0.404885863,0.328020756,100,100,100,55.0486618,97.80681288,265,164257,0.386276984,99.61865682,5775.7051,2469.9,989.8390936,68,376
"24","중구",180.54,3267,2427.317914,304351,4184,2851,0,0.421052632,0.324055666,0.48578294,0.297627872,0,55.80524345,100,48.15817985,87.53032508,253,134593,0.305703822,64.12247904,6600.6404,3108.6,762.2090302,103,866
"25","중랑구",7.03,7563,1832.210863,68452,4571,3392,0.285714286,0.105263158,0.135188867,0.360432519,0.593031875,100,83.72093023,100,53.0332681,84.88453464,956,412780,0.295926141,92.75163179,1103.2511,1107.4,224.0903145,50,307
